release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/ServerMXBean.java,5,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/AddCallback.java,4,31,1,1,0,37,37,37.0,37,37,37.0,37,28,28,28.0,8.0,8.0,0,0,3,1,0,no
3.1.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ErrorCodes.java,5,20,1,1,0,29,29,29.0,29,29,29.0,29,28,28,28.0,8.0,8.0,0,0,2,1,0,no
3.1.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ReadCallback.java,4,31,1,1,0,38,38,38.0,38,38,38.0,38,28,28,28.0,8.0,8.0,0,0,2,1,0,no
3.1.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/ReadEntryCallback.java,5,26,1,1,0,35,35,35.0,35,35,35.0,35,28,28,28.0,8.0,8.0,0,0,4,1,0,no
3.1.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/WriteCallback.java,4,26,1,1,0,32,32,32.0,32,32,32.0,32,28,28,28.0,8.0,8.0,0,0,4,1,0,no
3.1.1,src/java/main/org/apache/jute/Index.java,5,32,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,1,0,no
3.1.1,src/java/main/org/apache/jute/Record.java,8,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.1,src/java/main/org/apache/jute/compiler/JBoolean.java,15,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.1,src/java/main/org/apache/jute/compiler/JByte.java,9,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
