loc,commentLines,nRevisions,nFix,avgChangeSet,cyclomaticComplexity,buggy
5.241747,3.258097,1.94591,1.098612,2.70805,0,no
3.931826,3.73767,0.693147,0,3.367296,0,no
5.869297,4.672829,2.079442,0.693147,3.648801,1.098612,no
1.94591,3.091042,0,0,0,0,no
6.054439,4.718499,0.693147,0,1.791759,0,no
5.068904,4.691348,1.94591,1.098612,3.184974,0,no
4.59512,4.343805,0.693147,0,1.791759,0,no
3.970292,2.890372,1.098612,0,4.189655,0,no
3.828641,3.332205,0,0,0,0,no
1.609438,3.367296,0.693147,0,3.218876,0,no
2.302585,3.091042,1.098612,0,3.198673,0,no
4.59512,3.178054,2.079442,0,2.841582,0,no
4.430817,3.178054,1.098612,0,0.693147,0,no
4.682131,3.663562,2.70805,0.693147,3.216015,0,no
3.89182,3.044522,2.079442,1.098612,2.258782,0,no
1.94591,3.091042,0,0,0,0,no
4.574711,2.944439,1.098612,0,3.998201,0,no
2.197225,3.091042,0.693147,0,3.465736,0,no
4.682131,3.218876,1.386294,0,2.036882,0,no
2.639057,3.951244,1.098612,0,3.73767,0,no
7.183871,5.771441,4.043051,3.258097,2.334222,2.079442,no
4.174387,2.944439,0,0,0,0,no
4.70953,4.465908,0.693147,0,2.079442,1.098612,no
5.669881,3.526361,1.94591,1.098612,2.627081,1.098612,no
4.442651,3.583519,1.609438,0.693147,3.208825,0.693147,no
3.7612,3.583519,0.693147,0,1.791759,0,no
4.317488,3.044522,0.693147,0,4.744932,0,no
3.663562,3.637586,0.693147,0,4.574711,0,no
5.68358,3.871201,0.693147,0,3.218876,0,no
3.988984,3.465736,1.098612,0,3.496508,0,no
2.772589,3.091042,0.693147,0,3.465736,0,no
2.302585,3.091042,1.098612,0,3.198673,0,no
4.543295,3.713572,2.302585,1.386294,2.67031,0,no
5.713733,3.044522,1.386294,0,3.884994,1.098612,no
4.406719,3.583519,0.693147,0,3.951244,0,no
5.505332,3.951244,0.693147,0,3.367296,0,no
3.663562,3.496508,0.693147,0.693147,0.693147,0,no
2.944439,2.890372,1.098612,0,4.189655,0,no
4.477337,3.091042,1.098612,0,2.890372,0,no
2.944439,2.890372,0.693147,0,3.258097,0,no
4.356709,3.78419,0.693147,0.693147,1.386294,0,no
3.526361,3.044522,0.693147,0,4.744932,0,no
4.343805,4.394449,2.484907,1.098612,2.683509,0,no
4.770685,3.713572,2.772589,1.609438,2.897752,0,no
5.036953,4.454347,1.94591,1.386294,3.113515,0.693147,no
3.7612,3.091042,0.693147,0,2.564949,0,no
6.690842,5.438079,2.639057,1.098612,2.796343,2.197225,no
4.997212,5.411646,2.397895,0,2.797281,0,no
1.791759,3.295837,0,0,0,0,no
5.605802,5.135798,2.890372,1.098612,3.055665,0,no
1.94591,3.332205,0.693147,0,2.772589,0,no
4.787492,3.218876,1.098612,0,3.238678,0,no
3.988984,2.890372,0.693147,0,2.484907,0,no
5.641907,3.988984,3.433987,1.791759,2.18979,1.386294,no
2.995732,3.091042,1.098612,0,3.198673,0,no
3.850148,2.890372,0.693147,0,3.555348,0.693147,no
3.332205,2.890372,0,0,0,0,no
4.70953,4.465908,0.693147,0,2.079442,1.098612,no
4.007333,2.890372,0.693147,0,4.744932,0,no
1.791759,3.496508,0,0,0,0,no
6.520621,5.01728,2.564949,0,2.983153,1.791759,no
4.290459,3.433987,1.098612,0,3.496508,0,no
2.833213,3.091042,0.693147,0,2.772589,0,no
4.442651,3.526361,1.098612,0,2.917771,0,no
3.637586,4.025352,0.693147,0,2.079442,0,no
3.828641,3.332205,0,0,0,0,no
3.663562,3.988984,2.70805,1.791759,2.654247,0,no
4.382027,3.091042,0,0,0,0,no
1.791759,3.295837,0,0,0,0,no
5.488938,3.73767,1.098612,0,4.189655,0.693147,no
5.231109,4.406719,1.098612,0,3.901973,0,no
4.219508,2.890372,1.386294,0.693147,3.64632,0,no
4.465908,3.806662,0.693147,0,3.218876,0,no
2.70805,2.890372,0.693147,0,3.555348,0,no
3.465736,2.890372,0.693147,0,2.397895,0,no
3.688879,3.7612,1.098612,0,4.668145,0,no
6.066108,4.65396,1.94591,0,3.526361,1.098612,no
4.204693,3.091042,0.693147,0,3.465736,0,no
3.970292,3.044522,0.693147,0,3.044522,0,no
1.94591,3.401197,0.693147,0,3.218876,0,no
3.912023,3.044522,2.302585,1.098612,2.978925,0,no
5.273,3.135494,0,0,0,0.693147,no
3.970292,3.912023,2.397895,0,2.00148,0,no
3.433987,3.433987,0,0,0,0,no
3.78419,4.110874,0.693147,0,3.218876,0,no
4.543295,3.135494,1.386294,0,3.283414,0,no
1.791759,3.496508,0.693147,0,3.218876,0,no
1.94591,3.091042,0,0,0,0,no
4.59512,2.890372,1.098612,0,4.189655,0.693147,no
1.94591,2.890372,0.693147,0,4.744932,0,no
3.091042,2.890372,0.693147,0,3.555348,0,no
2.302585,3.091042,1.098612,0,3.198673,0,no
4.219508,3.295837,0.693147,0,2.564949,0,no
3.332205,3.091042,1.386294,1.098612,1.845827,0,no
3.78419,3.044522,1.386294,0,3.680511,0,no
4.70048,3.135494,1.94591,0,3.289645,0.693147,no
1.791759,3.295837,0,0,0,0,no
4.043051,3.78419,0.693147,0,2.564949,0,no
2.397895,4.189655,0.693147,0,2.564949,0,no
4.564348,3.526361,1.609438,1.098612,2.277267,0.693147,no
2.944439,4.26268,1.098612,0,2.70805,0,no
6.165418,2.944439,0.693147,0,2.079442,2.079442,no
4.189655,3.401197,1.791759,0,2.595255,0.693147,no
2.995732,3.135494,0,0,0,0,no
3.73767,3.367296,0,0,0,0,no
2.564949,3.091042,0.693147,0,3.465736,0,no
5.030438,4.454347,1.94591,1.386294,3.113515,0.693147,no
4.382027,3.73767,0.693147,0,0.693147,1.098612,no
5.869297,4.672829,2.079442,0.693147,3.648801,1.098612,no
4.110874,4.060443,2.079442,1.098612,2.936892,0,no
3.526361,3.091042,1.791759,0,2.360854,0,no
5.123964,4.663439,0.693147,0,1.791759,0.693147,no
2.564949,3.091042,0.693147,0,3.465736,0,no
3.7612,2.890372,0.693147,0,2.484907,0,no
3.688879,3.637586,0.693147,0,4.574711,0,no
2.944439,3.091042,0,0,0,0,no
1.791759,3.465736,1.098612,0,3.941582,0,no
1.791759,3.295837,0,0,0,0,no
1.94591,3.178054,1.609438,0,3.38439,0,no
4.70953,4.465908,0,0,0,1.098612,no
3.970292,3.218876,0.693147,0,3.218876,0,no
6.066108,4.65396,1.098612,0,2.970414,1.098612,no
4.077537,3.850148,1.791759,0.693147,3.453157,0,no
2.302585,3.091042,1.098612,0,3.198673,0,no
1.791759,3.295837,0,0,0,0,no
2.564949,2.890372,0.693147,0,3.555348,0,no
2.772589,2.890372,0.693147,0.693147,2.397895,0,no
3.73767,3.7612,1.098612,0,4.668145,0,no
2.397895,4.189655,0.693147,0,2.564949,0,no
3.610918,2.890372,1.098612,0,4.668145,0,no
2.639057,3.73767,0,0,0,0,no
4.060443,3.178054,0.693147,0,3.465736,0,no
4.59512,3.332205,1.791759,0.693147,3.543854,0,no
4.521789,3.951244,0.693147,0,3.044522,0.693147,no
4.955827,4.532599,2.197225,1.098612,3.068053,0,no
4.304065,3.806662,1.94591,0.693147,2.7191,0,no
4.672829,3.091042,0.693147,0,3.465736,0,no
4.70953,4.465908,0.693147,0,2.079442,1.098612,no
2.484907,2.890372,0.693147,0,3.555348,0,no
4.543295,3.135494,1.386294,0,3.283414,0,no
1.94591,3.178054,1.386294,0,1.94591,0,no
2.639057,3.951244,1.098612,0,3.73767,0,no
3.044522,2.890372,0,0,0,0,no
3.583519,3.044522,0.693147,0,4.204693,0,no
3.637586,4.025352,0.693147,0,2.079442,0,no
1.94591,3.526361,0.693147,0,3.218876,0,no
4.859812,3.871201,0.693147,0,3.218876,0,no
5.624018,3.465736,0.693147,0,3.218876,0,no
2.564949,3.044522,0,0,0,0,no
5.886104,4.736198,1.098612,0,3.417727,0,no
3.970292,3.912023,2.397895,0,2.00148,0,no
5.123964,4.663439,1.098612,0,3.941582,0.693147,no
3.044522,4.465908,1.386294,0.693147,2.233592,0,no
4.043051,2.995732,0.693147,0,1.098612,0,no
5.713733,3.044522,1.386294,0,3.884994,1.098612,no
4.477337,3.091042,1.098612,0,2.890372,0,no
4.70048,4.127134,0,0,0,0.693147,no
5.225747,4.406719,1.098612,0,3.901973,0,no
2.197225,2.890372,0.693147,0,3.555348,0,no
3.526361,2.890372,1.098612,0,4.189655,0,no
3.850148,3.295837,1.386294,0,0.693147,0,no
2.564949,3.091042,0.693147,0,3.465736,0,no
3.465736,2.890372,1.098612,0.693147,2.302585,0,no
